SKU,DESCRIPTION,VEHICLE,MODEL,LOCATION,QUANTITY,COST,PRICE,WHOLEPRICE,SUPPLIER
#10,HOSE CLAMP<NORROW>,UNIVERSAL,HOSE CLAMP,S11*C,9.000,65.00,113.04,113.04,CARMATTAZ AUTO ACCESSOR
#10-B,HOSE CLAMP<BROAD>,,,S11*C,2.000,101.00,134.78,134.70,ORYON AUTOMOTIVE DISTRI
#1214,SWITCH<IGNITION>,UNIVERSAL,UNIVERSAL,TT TABLE*C,7.000,805.00,1347.83,1347.83,ORYON AUTOMOTIVE DISTRI
#1215,SWITCH<IGNITION>,UNIVERSAL,,AE,0.000,335.00,583.69,583.69,ORYON AUTOMOTIVE DISTRI
#12-B,HOSE CLAMP<BROAD>,,,S10*C,1.000,96.00,139.13,139.13,MACKCHEM TRADING & DIST
#12-NARROW,HOSE CLAMP,UNIVERSAL,"1 1/4""",S11*C,241.000,65.00,113.04,113.04,GENESIS
#16,HOSE CLAMP,UNIVERSAL,"1 1/2""",S10*C,67.000,65.00,120.00,120.00,CARMATTAZ AUTO ACCESSOR
#16-B,HOSE CLAMP<BROAD>,,,S10*C,5.000,98.00,134.78,134.78,MACKCHEM TRADING & DIST
#20,HOSE CLAMP,UNIVERSAL,"1 3/4""",S10*C,263.000,75.00,117.39,117.39,GENESIS
#20-PRIME,HOSE CLAMP,,,S10*C,12.000,103.00,139.13,139.13,MACKCHEM TRADING & DIST
#214,OIL SEAL<DISTRIBUTOR OUTER>,SUZUKI,"BALENO,SWIFT,CIVIC,INTEGRA VITARA",L29,0.000,60.00,94.42,94.42,BEARING & ACCESSORIES L
#215,"SEAL<DISTRIBUTOR,OUTER>",HONDA,ACCORD,L FRONT,0.000,21.60,72.96,72.96,BEARING & SEALS LTD
#216,SEAL<O RING>DISTRIBUTOR,TOYOTA,"1E,2E,3E,4E,5E,4AFE,5AFE,3SFE,4SFE,5SFE",L FRT,0.000,21.60,51.50,51.50,BEARING & SEALS LTD
#220,OIL SEAL<DISTRIBUTOR OUTER>,MAZDA,"DEMIO,323",L31*,0.000,180.00,295.65,295.65,BEARING & ACCESSORIES L
#24,HOSE CLAMP,UNIVERSAL,"2""",S10*,204.000,75.00,113.04,113.04,GENESIS
#24-PRIME,HOSE CLAMP,,,S10*C,0.000,102.00,152.17,152.17,MACKCHEM TRADING & DIST
#265<LONG 45MM>,LUG BOLT,TOYOTA,HIACE,A7*C,52.000,105.00,286.97,286.96,ORYON AUTOMOTIVE DISTRI
#265<LONG 75MM>,LUG BOLT<LONG>75MM,TOYOTA,,A7*C,82.000,150.00,304.35,304.35,ORYON AUTOMOTIVE DISTRI
#28,HOSE CLAMP,UNIVERSAL,"2 1/4""",S10*C,79.000,75.00,113.04,113.04,GENESIS
#2-C,HOSE CLAMP,,,S11*,0.000,15.00,30.44,30.44,STOCK TAKING
#32,HOSE CLAMP,UNIVERSAL,,S10*C,3.000,102.00,152.17,152.17,MACKCHEM TRADING & DIST
#36,HOSE CLAMP,UNIVERSAL,"2 3/4""",S9*,19.000,59.50,156.52,156.52,DAYTONA SALES COMPANY L
#4<PRIME>,HOSE CLAMP,,PRIME,S10*,0.000,70.00,113.04,113.04,GENESIS
#40,HOSE CLAMP,,"2 1/16-3""",S9*,14.000,70.00,143.48,143.48,DAYTONA SALES COMPANY L
#44,"HOSE CLAMP<3 1/4""",,,S9*C,0.000,121.00,226.09,226.09,ORYON AUTOMOTIVE DISTRI
#4613,O/RING,,FUEL PUMP,,1.000,1.00,68.67,68.67,MISCELLANEOUS
#472-12V<60/55>,BULB<HEAD LAMP>,,EAGLE EYE,BLK SHLF,0.000,255.00,394.85,394.85,ORYON AUTOMOTIVE DISTRI
#48,"HOSE CLAMP<3/12""",,,S9*c,0.000,120.00,286.96,286.96,DAYTONA SALES COMPANY L
#484-12V<90/100>,BULB<HEAD LAMP>,,EAGLE EYE,BLK SHLF,0.000,280.00,394.85,394.85,ORYON AUTOMOTIVE DISTRI
#4-B,HOSE CLAMP<BROAD>,UNIVERSAL,"5/8""",S11*C,-1.000,95.00,121.74,121.74,MACKCHEM TRADING & DIST
#4-ICRB,HOSE CLAMP,,,S11*C,220.000,65.00,86.96,86.96,GENESIS
#52,"HOSE CLAMP<3 3/4""",,,S9*C,0.000,130.00,208.70,208.70,ORYON AUTOMOTIVE DISTRI
#52-A,HOSE CLAMP<2 3/4-3 3/4,UNIVERSAL,,,,,0.00,0.00,
#56,"HOSE CLAMP<4"">",,,S10*,0.000,105.00,282.61,282.61,DAYTONA SALES COMPANY L
#56-A,"HOSE CLAMP<4"">",,,S9*,0.000,152.00,226.09,226.09,STOCK TAKING
#6<PRIME>BROAD,HOSE CLAMP,,PRIME,S11*C,0.000,82.00,117.39,117.39,MACKCHEM TRADING & DIST
#64,"HOSE CLAMP<4 1/2""",,,S9*C,1.000,140.00,226.09,226.09,ORYON AUTOMOTIVE DISTRI
