ID,SKU,Description,Type,Cost,Price,WsalePrice,MaxDiscount,Comments,Unit
1, 18215-TA0-A01-G         ,MUFFLER RUBBER (FRT) HONDA ACCORD 2003-2022 CR-V 07-11,1,960,4320,0,0,,Unit
2, 38920-RBA-013-J         ,BELT A/C (1690) HONDA ACCORD CL7 03-07,1,6050,6050,0,0,,Unit
4,01431-SAA-000-G          ,"BRAKE SHOE (RH) REAR HONDA/FIT , 01-",1,2769.5,7616.13,0,0,,Unit
5,01431-T5A-000-G          ,BRAKE SHOE (RH) REAR HONDA/FIT 2014-2017,1,2816.34,7744.94,0,0,,Unit
6,01432-SAA-000-G          ,"BRAKE SHOE (LH) REAR HONDA/FIT , 01-",1,2769.5,7616.13,0,0,,Unit
7,01432-T5A-000-G          ,BRAKE SHOE (LH) REAR HONDA/FIT 2014-2017,1,2816.34,7744.94,0,0,,Unit
8,01433-S50-010-G          ,"WASHER KIT RR WHEEL HONDA/LOGO , 99-",1,1235.4,3088.5,0,0,,Unit
9,01433-SE0-010-G          ,"WASHER KIT RR WHEEL HONDA/ACCORD 90-97 <CR-V 96-01 < STREAM , 01-",1,0,0,0,0,,Unit
10,01433-SJ8-000-G          ,"WASHER KIT RR WHEEL HONDA/CITY , 1.5 , 03-",1,0,0,0,0,,Unit
11,01433-SR3-000-G          ,WASHER KIT RR WHEEL HONDA/CIVIC 95-01 INTEGRA 95-99,1,0,0,0,0,,Unit
12,01461-SNC-000-G          ,"BRAKE MASTER CYLINDER HONDA/CIVIC , 4DR , 06-08",1,0,0,0,0,,Unit
13,01462-S04-J00-N,KIT BRAKE MASTER CYLINDER (13/16) HONDA CIVIC 96-00 PARTNER 96-00 INTEGRA 96-00,1,6000,6000,0,0,,Unit
14,01462-S0A-010-G          ,"KIT BRAKE MASTER CYLINDER ( 15/16) (ABS) HONDA/CIVIC 96- <ACCORD , CF-4 , 98-01",1,5600,5600,0,0,,Unit
15,01462-S30-950-G          ,KIT BRAKE MASTER CYLINDER HONDA/INSPIRE UA1 95-,1,6400,6400,0,0,,Unit
16,01462-S5A-J50-G          ,KIT BRAKE MASTER CYLINDER  HONDA/CR-V RD5 02-,1,3375,5062.5,0,0,,Unit
17,01462-SDA-A02-J,KIT BRAKE MASTER CYLINDER ACCORD 03-12 (13/16),1,13500,16537.5,0,0,,Unit
18,01462-SD4-Z52-G          ,KIT BRAKE MASTER CYLINDER (W/ABS)  HONDA/INTEGRA DA6 1.6  DOHC 90-92,1,0,0,0,0,,Unit
19,01462-SDD-A02-G,KIT BRAKE MASTER HONDA/ACCORD 2.0 03-04 / INSPIRE 07,1,10512,31536,0,0,,Unit
20,01462-SM4-010-J          ,KIT BRAKE MASTER CYLINDER (15/16) HONDA ACCORD 90-02 CR-V 99-05,1,5240,5240,0,0,,Unit
21,01462-TA0-A00-G,KIT BRAKE MASTER HONDA/ACCORD 2.0 03-12 (13/16),1,6850,17125,0,0,,Unit
22,01462-TA0-A00-J,KIT BRAKE MASTER HONDA/ACCORD 2.0 03-12 (13/16),1,4732.8,16564.8,0,0,,Unit
23,01463-S04-000-G          ,"CALIPER KIT FRT HONDA/CIVIC 1.5,1.3 96-00 < LOGO , 01-",1,0,0,0,0,,Unit
24,01463-S04-000-J,"CALIPER KIT FRT HONDA/CIVIC 1.5,1.3 96-00 < LOGO , 01-",1,5500,5500,0,0,,Unit
25,01463-S04-L00-G          ,CALIPER KIT FRT HONDA/CIVIC LHD 96-,1,2295,2524.5,0,0,,Unit
26,01463-S04-V00-J,CALIPER KIT FRT HONDA/CIVIC 1.6 96-01 INTEGRA DC5 01-,1,1650.25,6270.95,0,0,,Unit
27,01463-S0A-000-G          ,CALIPER KIT FRT HONDA/ACCORD CF-3 TORNEO 1.8 98-,1,0,0,0,0,,Unit
